nodes,connection
"(382, 1153)",1
"(776, 1152)",1
"(1233, 1538)",1
"(393, 1454)",1
"(668, 816)",1
"(737, 1498)",1
"(1121, 1455)",1
"(1319, 1443)",1
"(369, 675)",1
"(1308, 1509)",1
"(517, 1119)",1
"(856, 1546)",1
"(659, 1289)",1
"(1397, 1467)",1
"(1484, 1521)",1
"(430, 1077)",1
"(489, 1458)",1
"(472, 1270)",1
"(674, 973)",1
"(1350, 1468)",1
"(847, 1315)",1
"(1286, 1486)",1
"(735, 815)",1
"(1030, 1178)",1
"(744, 1130)",1
"(823, 1139)",1
"(783, 1308)",1
"(1249, 1578)",1
"(648, 882)",1
"(664, 1205)",1
"(372, 417)",1
"(891, 1123)",1
"(484, 1575)",1
"(519, 731)",1
"(896, 1341)",1
"(856, 1568)",1
"(333, 1077)",1
"(761, 1248)",1
"(532, 952)",1
"(326, 1055)",1
"(735, 1332)",1
"(959, 1119)",1
"(339, 763)",1
"(1153, 1466)",1
"(980, 1482)",1
"(871, 1568)",1
"(361, 399)",1
"(563, 966)",1
"(865, 982)",1
"(341, 343)",1
"(509, 631)",1
"(446, 718)",1
"(690, 918)",1
"(436, 531)",1
"(465, 1078)",1
"(387, 1512)",1
"(612, 1585)",1
"(437, 1364)",1
"(342, 722)",1
"(586, 877)",1
"(1019, 1535)",1
"(849, 1109)",1
"(492, 1319)",1
"(588, 873)",1
"(447, 669)",1
"(488, 917)",1
"(789, 1530)",1
"(841, 1141)",1
"(929, 1577)",1
"(558, 1538)",1
"(638, 935)",1
"(897, 1056)",1
"(336, 759)",1
"(1174, 1490)",1
"(326, 771)",1
"(372, 520)",1
"(954, 986)",1
"(1003, 1328)",1
"(888, 1302)",1
"(886, 1119)",1
"(1280, 1343)",1
"(329, 1581)",1
"(441, 770)",1
"(1126, 1390)",1
"(890, 918)",1
"(381, 433)",1
"(1214, 1302)",1
"(692, 1440)",1
"(928, 939)",1
"(1048, 1362)",1
"(1003, 1161)",1
"(858, 889)",1
"(880, 1148)",1
"(418, 1421)",1
"(346, 950)",1
"(883, 1473)",1
"(427, 728)",1
"(978, 1384)",1
"(435, 1195)",1
"(438, 1389)",1
"(361, 1044)",1
"(476, 561)",1
"(456, 1307)",1
"(1355, 1519)",1
"(452, 533)",1
"(1449, 1470)",1
"(1248, 1465)",1
"(808, 1482)",1
"(725, 1212)",1
"(1329, 1496)",1
"(336, 583)",1
"(342, 427)",1
"(439, 1273)",1
"(891, 1588)",1
"(815, 1481)",1
"(672, 1335)",1
"(409, 1507)",1
"(600, 1276)",1
"(1139, 1148)",1
"(327, 376)",1
"(490, 946)",1
"(536, 1171)",1
"(495, 1465)",1
"(980, 982)",1
"(738, 1111)",1
"(645, 1492)",1
"(677, 1312)",1
"(565, 704)",1
"(328, 763)",1
"(619, 1470)",1
"(420, 765)",1
"(355, 621)",1
"(1106, 1477)",1
"(789, 1532)",1
"(694, 1117)",1
"(351, 1386)",1
"(334, 427)",1
"(350, 1283)",1
"(358, 1008)",1
"(384, 628)",1
"(1042, 1287)",1
"(570, 1176)",1
"(437, 1359)",1
"(1246, 1547)",1
"(361, 1236)",1
"(924, 1063)",1
"(604, 1253)",1
"(668, 691)",1
"(837, 1392)",1
"(1040, 1413)",1
"(577, 769)",1
"(1528, 1561)",1
"(471, 1109)",1
"(566, 1508)",1
"(441, 1468)",1
"(1133, 1559)",1
"(794, 1511)",1
"(717, 1253)",1
"(400, 1390)",1
"(469, 1192)",1
"(396, 1405)",1
"(355, 1409)",1
"(878, 1434)",1
"(824, 1265)",1
"(882, 1081)",1
"(1242, 1415)",1
"(770, 1516)",1
"(652, 733)",1
"(453, 1074)",1
"(848, 1396)",1
"(620, 1245)",1
"(812, 903)",1
"(758, 1507)",1
"(1110, 1558)",1
"(1246, 1562)",1
"(415, 807)",1
"(697, 1241)",1
"(1310, 1416)",1
"(461, 928)",1
"(641, 657)",1
"(578, 1401)",1
"(514, 1175)",1
"(455, 654)",1
"(737, 1258)",1
"(1038, 1416)",1
"(1088, 1099)",1
"(312, 828)",1
"(1196, 1353)",1
"(760, 1557)",1
"(395, 898)",1
"(742, 1029)",1
"(1465, 1587)",1
"(463, 1474)",1
"(1141, 1336)",1
"(460, 1540)",1
"(302, 1392)",1
"(457, 1588)",1
"(1238, 1323)",1
"(1296, 1395)",1
"(994, 1393)",1
"(695, 899)",1
"(679, 742)",1
"(1459, 1473)",1
"(659, 1168)",1
"(874, 1166)",1
"(897, 1096)",1
"(308, 981)",1
"(694, 1316)",1
"(768, 1139)",1
"(458, 985)",1
"(691, 1323)",1
"(919, 1236)",1
"(977, 1584)",1
"(673, 1573)",1
"(767, 1310)",1
"(1149, 1470)",1
"(621, 1062)",1
"(785, 1038)",1
"(338, 1297)",1
"(1423, 1549)",1
"(673, 1054)",1
"(697, 836)",1
"(625, 1194)",1
"(336, 625)",1
"(683, 888)",1
"(959, 1573)",1
"(487, 913)",1
"(604, 865)",1
"(351, 517)",1
"(1471, 1525)",1
"(572, 1101)",1
"(849, 922)",1
"(485, 1574)",1
"(652, 857)",1
"(1298, 1556)",1
"(972, 1514)",1
"(592, 755)",1
"(1034, 1232)",1
"(811, 1101)",1
"(483, 553)",1
"(1454, 1549)",1
"(472, 975)",1
"(726, 1549)",1
"(323, 970)",1
"(497, 1389)",1
"(463, 1029)",1
"(1025, 1377)",1
"(668, 867)",1
"(432, 1518)",1
"(1246, 1372)",1
"(887, 1188)",1
"(370, 1462)",1
"(519, 1508)",1
"(979, 1477)",1
"(1130, 1561)",1
"(314, 1173)",1
"(973, 1450)",1
"(1160, 1250)",1
"(1016, 1087)",1
"(330, 1224)",1
"(1115, 1175)",1
"(496, 679)",1
"(1069, 1534)",1
"(1208, 1230)",1
"(966, 978)",1
"(627, 1501)",1
"(1185, 1238)",1
"(1009, 1069)",1
"(584, 620)",1
"(421, 1351)",1
"(1004, 1263)",1
"(536, 1316)",1
"(688, 778)",1
"(386, 1134)",1
"(962, 1286)",1
"(349, 1503)",1
"(608, 719)",1
"(1148, 1576)",1
"(1436, 1527)",1
"(1310, 1578)",1
"(1061, 1076)",1
"(526, 1248)",1
"(1464, 1554)",1
"(1515, 1522)",1
"(330, 1495)",1
"(714, 748)",1
"(1206, 1431)",1
"(825, 1412)",1
"(864, 1041)",1
"(367, 1095)",1
"(1358, 1578)",1
"(460, 582)",1
"(330, 886)",1
"(392, 1177)",1
"(548, 1437)",1
"(970, 1076)",1
"(1564, 1569)",1
"(765, 1161)",1
"(381, 1521)",1
"(1237, 1271)",1
"(563, 1355)",1
"(1281, 1321)",1
"(601, 1314)",1
"(1116, 1406)",1
"(561, 1061)",1
"(1171, 1339)",1
"(524, 1325)",1
"(670, 905)",1
"(1163, 1472)",1
"(1013, 1438)",1
"(786, 887)",1
"(507, 1095)",1
"(899, 1462)",1
"(349, 1198)",1
"(1114, 1465)",1
"(458, 1181)",1
"(954, 1392)",1
"(520, 1529)",1
"(481, 1143)",1
"(626, 1540)",1
"(474, 1193)",1
"(647, 897)",1
"(1426, 1489)",1
"(888, 960)",1
"(790, 1317)",1
"(344, 430)",1
"(805, 996)",1
"(1308, 1366)",1
"(369, 505)",1
"(455, 559)",1
"(945, 1426)",1
"(353, 786)",1
"(497, 1401)",1
"(688, 1087)",1
"(473, 1157)",1
"(1128, 1527)",1
"(1249, 1341)",1
"(669, 1075)",1
"(386, 1568)",1
"(517, 922)",1
"(1179, 1465)",1
"(590, 1154)",1
"(498, 1055)",1
"(571, 613)",1
"(396, 1266)",1
"(1127, 1270)",1
"(743, 1325)",1
"(789, 1060)",1
"(303, 998)",1
"(480, 1156)",1
"(711, 1289)",1
"(622, 1566)",1
"(591, 1283)",1
"(787, 824)",1
"(839, 1040)",1
"(557, 778)",1
"(1039, 1075)",1
"(380, 1503)",1
"(1159, 1475)",1
"(703, 1342)",1
"(515, 881)",1
"(401, 1287)",1
"(478, 980)",1
"(463, 1523)",1
"(545, 1267)",1
"(840, 1213)",1
"(1421, 1555)",1
"(1429, 1523)",1
"(1138, 1449)",1
"(924, 1123)",1
"(1363, 1397)",1
"(491, 615)",1
"(976, 1467)",1
"(445, 1575)",1
"(969, 1255)",1
"(432, 1374)",1
"(849, 1137)",1
"(327, 805)",1
"(416, 1114)",1
"(867, 1025)",1
"(1035, 1123)",1
"(592, 850)",1
"(1370, 1401)",1
"(938, 1356)",1
"(1322, 1596)",1
"(673, 1534)",1
"(942, 1302)",1
"(308, 618)",1
"(690, 1570)",1
"(583, 1417)",1
"(500, 613)",1
"(1218, 1489)",1
"(452, 1301)",1
"(981, 1022)",1
"(1140, 1594)",1
"(303, 490)",1
"(800, 1151)",1
"(874, 1023)",1
"(824, 1090)",1
"(482, 841)",1
"(722, 1551)",1
"(389, 684)",1
"(1191, 1438)",1
"(664, 1067)",1
"(1426, 1442)",1
"(371, 1401)",1
"(1305, 1575)",1
"(544, 956)",1
"(384, 1077)",1
"(992, 1004)",1
"(861, 1238)",1
"(857, 1045)",1
"(1371, 1441)",1
"(705, 1292)",1
"(405, 510)",1
"(535, 616)",1
"(439, 1027)",1
"(530, 1501)",1
"(1001, 1164)",1
"(841, 1170)",1
"(358, 433)",1
"(647, 747)",1
"(650, 816)",1
"(540, 1573)",1
"(911, 1483)",1
"(642, 1183)",1
"(1066, 1225)",1
"(584, 807)",1
"(839, 1254)",1
"(641, 769)",1
"(710, 1401)",1
"(1156, 1312)",1
"(597, 852)",1
"(575, 1048)",1
"(651, 974)",1
"(745, 1420)",1
"(579, 963)",1
"(376, 448)",1
"(596, 1265)",1
"(891, 1274)",1
"(498, 1450)",1
"(589, 1280)",1
"(1303, 1354)",1
"(504, 1078)",1
"(747, 1304)",1
"(309, 879)",1
"(552, 813)",1
"(314, 1312)",1
"(1275, 1448)",1
"(617, 862)",1
"(372, 1329)",1
"(379, 1134)",1
"(555, 1201)",1
"(469, 696)",1
"(1284, 1411)",1
"(328, 1173)",1
"(898, 1168)",1
"(504, 923)",1
"(466, 864)",1
"(1106, 1255)",1
"(973, 1564)",1
"(454, 949)",1
"(940, 1336)",1
"(988, 1152)",1
"(316, 549)",1
"(596, 1173)",1
"(718, 821)",1
"(346, 575)",1
"(653, 1415)",1
"(798, 1264)",1
"(356, 1450)",1
"(555, 1416)",1
"(344, 876)",1
"(349, 773)",1
"(452, 545)",1
"(1029, 1033)",1
"(757, 1386)",1
"(427, 745)",1
"(608, 1065)",1
"(338, 437)",1
"(547, 1272)",1
"(1320, 1576)",1
"(567, 987)",1
"(1222, 1374)",1
"(453, 1401)",1
"(561, 793)",1
"(534, 962)",1
"(1186, 1306)",1
"(817, 1510)",1
"(358, 1382)",1
"(504, 780)",1
"(638, 797)",1
"(1176, 1462)",1
"(556, 1124)",1
"(1294, 1477)",1
"(1266, 1537)",1
"(652, 1032)",1
"(921, 1105)",1
"(587, 800)",1
"(822, 1320)",1
"(994, 1422)",1
"(796, 843)",1
"(752, 1395)",1
"(630, 920)",1
"(1275, 1291)",1
"(692, 1132)",1
"(458, 551)",1
"(526, 1180)",1
"(1344, 1536)",1
"(789, 1168)",1
"(873, 1519)",1
"(1514, 1573)",1
"(318, 513)",1
"(395, 1507)",1
"(488, 1222)",1
"(831, 1199)",1
"(504, 979)",1
"(319, 828)",1
"(1054, 1257)",1
"(684, 1522)",1
"(353, 686)",1
"(990, 1133)",1
"(623, 1510)",1
"(478, 1232)",1
"(381, 785)",1
"(1074, 1108)",1
"(421, 1510)",1
"(619, 1531)",1
"(1258, 1336)",1
"(539, 1378)",1
"(905, 1321)",1
"(447, 1523)",1
"(518, 1244)",1
"(467, 1146)",1
"(519, 1181)",1
"(484, 1173)",1
"(448, 805)",1
"(553, 824)",1
"(530, 916)",1
"(1278, 1321)",1
"(732, 1407)",1
"(794, 862)",1
"(629, 1527)",1
"(1014, 1444)",1
"(497, 547)",1
"(724, 1077)",1
"(1495, 1572)",1
"(359, 388)",1
"(664, 1280)",1
"(580, 1081)",1
"(1256, 1551)",1
"(317, 1000)",1
"(608, 1436)",1
"(883, 1355)",1
"(1282, 1400)",1
"(657, 1426)",1
"(479, 1064)",1
"(677, 768)",1
"(1015, 1364)",1
"(852, 1382)",1
"(631, 1059)",1
"(520, 979)",1
"(315, 652)",1
"(300, 756)",1
"(1111, 1299)",1
"(418, 913)",1
"(1285, 1419)",1
"(339, 1057)",1
"(516, 1465)",1
"(693, 1272)",1
"(693, 857)",1
"(1068, 1434)",1
"(610, 882)",1
"(344, 1585)",1
"(1512, 1538)",1
"(930, 939)",1
"(379, 911)",1
"(917, 1491)",1
"(1275, 1565)",1
"(1123, 1155)",1
"(364, 1209)",1
"(1317, 1360)",1
"(626, 1430)",1
"(982, 1411)",1
"(1403, 1473)",1
"(461, 671)",1
"(434, 1176)",1
"(973, 1239)",1
"(790, 944)",1
"(449, 931)",1
"(1426, 1429)",1
"(806, 1228)",1
"(534, 898)",1
"(1061, 1494)",1
"(367, 803)",1
"(920, 980)",1
"(794, 1267)",1
"(798, 959)",1
"(353, 691)",1
"(483, 701)",1
"(633, 1514)",1
"(427, 1134)",1
"(322, 977)",1
"(367, 1001)",1
"(557, 821)",1
"(862, 942)",1
"(531, 572)",1
"(486, 1468)",1
"(370, 1309)",1
"(513, 1025)",1
"(1506, 1552)",1
"(1463, 1585)",1
"(570, 1373)",1
"(1102, 1132)",1
"(353, 532)",1
"(1443, 1528)",1
"(437, 828)",1
"(1391, 1498)",1
"(506, 1370)",1
"(394, 1361)",1
"(319, 1015)",1
"(328, 983)",1
"(1093, 1256)",1
"(493, 1395)",1
"(362, 1309)",1
"(535, 740)",1
"(828, 982)",1
"(499, 1262)",1
"(1136, 1256)",1
"(316, 1115)",1
"(1190, 1363)",1
"(364, 1132)",1
"(758, 849)",1
"(603, 809)",1
"(356, 950)",1
"(522, 1163)",1
"(357, 941)",1
"(344, 1283)",1
"(1118, 1324)",1
"(524, 934)",1
"(569, 703)",1
"(347, 1387)",1
"(624, 921)",1
"(531, 696)",1
"(693, 1145)",1
"(640, 1235)",1
"(568, 1083)",1
"(1264, 1454)",1
"(1154, 1428)",1
"(601, 1568)",1
"(563, 796)",1
"(1060, 1238)",1
"(349, 424)",1
"(598, 624)",1
"(1451, 1495)",1
"(900, 1063)",1
"(685, 1218)",1
"(718, 1595)",1
"(562, 1486)",1
"(499, 1565)",1
"(1100, 1269)",1
"(579, 795)",1
"(310, 948)",1
"(375, 834)",1
"(1309, 1556)",1
"(635, 1427)",1
"(1189, 1423)",1
"(371, 650)",1
"(879, 1401)",1
"(1422, 1581)",1
"(906, 1435)",1
"(607, 1367)",1
"(382, 979)",1
"(1350, 1536)",1
"(1169, 1382)",1
"(630, 1414)",1
"(674, 1569)",1
"(1030, 1519)",1
"(475, 843)",1
"(327, 1377)",1
"(489, 1129)",1
"(421, 706)",1
"(1118, 1322)",1
"(378, 1288)",1
"(1149, 1447)",1
"(771, 1176)",1
"(585, 649)",1
"(627, 814)",1
"(1175, 1501)",1
"(626, 1343)",1
"(322, 490)",1
"(771, 930)",1
"(442, 530)",1
"(1095, 1105)",1
"(1248, 1515)",1
"(816, 1541)",1
"(1012, 1021)",1
"(1122, 1448)",1
"(1514, 1542)",1
"(536, 847)",1
"(984, 1470)",1
"(464, 533)",1
"(789, 1360)",1
"(441, 1436)",1
"(534, 1305)",1
"(764, 1117)",1
"(448, 1401)",1
"(315, 1588)",1
"(936, 1476)",1
"(390, 1152)",1
"(412, 1522)",1
"(488, 1538)",1
"(800, 1292)",1
"(435, 1561)",1
"(1201, 1571)",1
"(1003, 1032)",1
"(373, 1187)",1
"(348, 838)",1
"(781, 1524)",1
"(728, 1474)",1
"(663, 1392)",1
"(399, 429)",1
"(832, 1575)",1
"(727, 736)",1
"(402, 1541)",1
"(974, 1211)",1
"(1004, 1485)",1
"(760, 778)",1
"(503, 1485)",1
"(844, 1182)",1
"(374, 842)",1
"(624, 849)",1
"(780, 1272)",1
"(713, 892)",1
"(714, 901)",1
"(458, 1255)",1
"(433, 490)",1
"(373, 980)",1
"(999, 1113)",1
"(361, 1485)",1
"(734, 1177)",1
"(445, 906)",1
"(900, 1410)",1
"(540, 1043)",1
"(397, 814)",1
"(782, 1263)",1
"(1283, 1327)",1
"(642, 1072)",1
"(495, 1307)",1
"(979, 1289)",1
"(973, 1194)",1
"(594, 985)",1
"(508, 859)",1
"(615, 912)",1
"(619, 1400)",1
"(1087, 1101)",1
"(1140, 1545)",1
"(600, 636)",1
"(1101, 1556)",1
"(862, 1517)",1
"(575, 1238)",1
"(1397, 1430)",1
"(610, 1110)",1
"(315, 1174)",1
"(462, 722)",1
"(710, 1264)",1
"(760, 1232)",1
"(1186, 1559)",1
"(456, 1487)",1
"(812, 1091)",1
"(518, 1498)",1
"(938, 1457)",1
"(1101, 1233)",1
"(358, 810)",1
"(669, 1386)",1
"(540, 1040)",1
"(335, 616)",1
"(1493, 1499)",1
"(545, 1012)",1
"(636, 915)",1
"(1007, 1465)",1
"(1093, 1443)",1
"(831, 1370)",1
"(489, 601)",1
"(864, 1463)",1
"(312, 1394)",1
"(1050, 1168)",1
"(935, 1299)",1
"(302, 585)",1
"(951, 1262)",1
"(1119, 1259)",1
"(432, 929)",1
"(867, 1021)",1
"(1154, 1281)",1
"(948, 1237)",1
"(748, 1359)",1
"(733, 1527)",1
"(724, 776)",1
"(1156, 1524)",1
"(416, 1410)",1
"(1157, 1301)",1
"(502, 927)",1
"(461, 581)",1
"(692, 721)",1
"(955, 1570)",1
"(473, 969)",1
"(319, 1222)",1
"(668, 742)",1
"(811, 913)",1
"(775, 883)",1
"(672, 677)",1
"(364, 568)",1
"(546, 625)",1
"(642, 764)",1
"(1495, 1533)",1
"(1227, 1271)",1
"(907, 1024)",1
"(1043, 1422)",1
"(351, 1353)",1
"(996, 1105)",1
"(942, 959)",1
"(686, 864)",1
"(652, 700)",1
"(578, 1226)",1
"(755, 1150)",1
"(428, 1153)",1
"(1116, 1237)",1
"(334, 358)",1
"(548, 737)",1
"(1215, 1243)",1
"(460, 963)",1
"(695, 952)",1
"(825, 910)",1
"(861, 1545)",1
"(426, 810)",1
"(686, 1291)",1
"(579, 870)",1
"(307, 814)",1
"(894, 1457)",1
"(1026, 1482)",1
"(619, 1479)",1
"(550, 902)",1
"(661, 1124)",1
"(580, 1497)",1
"(1130, 1546)",1
"(322, 472)",1
"(313, 1338)",1
"(648, 924)",1
"(600, 1551)",1
"(485, 635)",1
"(1249, 1298)",1
"(739, 1291)",1
"(476, 988)",1
"(340, 1512)",1
"(326, 329)",1
"(807, 1339)",1
"(569, 1324)",1
"(436, 902)",1
"(487, 802)",1
"(394, 712)",1
"(659, 969)",1
"(1211, 1481)",1
"(1231, 1505)",1
"(1485, 1512)",1
"(519, 620)",1
"(513, 1344)",1
"(1364, 1505)",1
"(711, 1150)",1
"(915, 1240)",1
"(384, 867)",1
"(672, 842)",1
"(534, 1200)",1
"(368, 820)",1
"(386, 955)",1
"(802, 995)",1
"(497, 885)",1
"(556, 1114)",1
"(537, 1472)",1
"(356, 1599)",1
"(490, 560)",1
"(446, 895)",1
"(1398, 1489)",1
"(786, 1027)",1
"(517, 946)",1
"(655, 752)",1
"(579, 726)",1
"(714, 1032)",1
"(1362, 1563)",1
"(467, 1327)",1
"(326, 406)",1
"(1212, 1314)",1
"(367, 1146)",1
"(436, 1080)",1
"(700, 1448)",1
"(1119, 1313)",1
"(1113, 1167)",1
"(672, 1221)",1
"(526, 670)",1
"(465, 1199)",1
"(349, 1387)",1
"(454, 1159)",1
"(555, 1144)",1
"(561, 1358)",1
"(825, 1070)",1
"(1110, 1251)",1
"(1048, 1482)",1
"(749, 1383)",1
"(689, 1167)",1
"(757, 1544)",1
"(972, 982)",1
"(692, 1403)",1
"(495, 673)",1
"(928, 1149)",1
"(820, 1000)",1
"(802, 1012)",1
"(445, 627)",1
"(1180, 1186)",1
"(338, 748)",1
"(357, 1490)",1
"(972, 1456)",1
"(555, 915)",1
"(689, 1381)",1
"(300, 983)",1
"(1136, 1381)",1
"(329, 1110)",1
"(436, 775)",1
"(1257, 1343)",1
"(1228, 1578)",1
"(1287, 1527)",1
"(308, 1494)",1
"(485, 1438)",1
"(1206, 1307)",1
"(589, 1248)",1
"(718, 1102)",1
"(327, 1568)",1
"(682, 1501)",1
"(926, 1368)",1
"(549, 631)",1
"(738, 815)",1
"(959, 1487)",1
"(987, 1273)",1
"(372, 811)",1
"(1076, 1348)",1
"(653, 668)",1
"(392, 524)",1
"(556, 951)",1
"(971, 1253)",1
"(1340, 1512)",1
"(575, 1035)",1
"(706, 933)",1
"(1248, 1558)",1
"(631, 1304)",1
"(426, 1394)",1
"(780, 1132)",1
"(1388, 1397)",1
"(366, 777)",1
"(980, 1113)",1
"(374, 1431)",1
"(816, 1389)",1
"(892, 1433)",1
"(329, 989)",1
"(1100, 1378)",1
"(475, 668)",1
"(1458, 1597)",1
"(1161, 1174)",1
"(357, 838)",1
"(1000, 1136)",1
"(568, 1536)",1
"(880, 953)",1
"(676, 1122)",1
"(421, 705)",1
"(481, 985)",1
"(785, 1018)",1
"(582, 1318)",1
"(1024, 1186)",1
"(651, 1331)",1
"(450, 1529)",1
"(606, 1158)",1
"(922, 1364)",1
"(1309, 1367)",1
"(325, 1160)",1
"(935, 1515)",1
"(617, 1281)",1
"(452, 1089)",1
"(415, 1219)",1
"(830, 1174)",1
"(1343, 1369)",1
"(1452, 1574)",1
"(516, 1403)",1
"(414, 1083)",1
"(434, 1477)",1
"(1095, 1221)",1
"(443, 1102)",1
"(551, 1437)",1
"(632, 1500)",1
"(876, 1099)",1
"(724, 812)",1
"(325, 408)",1
"(358, 1405)",1
"(381, 794)",1
"(537, 1221)",1
"(1411, 1448)",1
"(1161, 1299)",1
"(318, 1274)",1
